date,ville,latitude,longitude,descr_cat_veh,descr_agglo,descr_athmo,descr_lum,descr_etat_surf,age,place,descr_dispo_secu,descr_grav
730,507,48.9833,2.2,0,0,6,4,7,59,0,14,0
730,507,48.9833,2.2,0,0,6,4,7,45,0,14,0
2030,5402,49.0,2.38333,0,0,3,0,7,50,0,14,0
312,2997,43.6833,4.13333,0,0,3,4,7,77,0,14,0
186,3715,43.6667,3.85,0,0,3,4,7,20,0,14,0
537,3772,43.6,3.88333,0,0,5,1,6,20,0,14,0
537,3772,43.6,3.88333,0,0,5,1,6,42,0,14,0
1993,3772,43.6,3.88333,2,0,3,4,7,24,1,11,0
2124,4781,47.1167,-2.1,0,1,3,4,7,71,0,14,3
1373,1487,49.3,2.88333,0,1,6,4,8,34,0,14,3
3655,3305,47.35,-0.85,2,1,3,3,7,33,0,11,3
3993,5977,43.8,4.23333,2,1,3,3,7,63,0,11,3
1133,5144,43.3,6.08333,0,1,3,3,6,24,0,14,3
700,2602,46.0833,-0.916667,0,1,0,4,8,54,0,14,3
1987,2504,45.7333,-0.95,0,1,3,4,7,40,0,14,3
3533,1748,47.5667,7.25,2,1,3,4,0,21,0,11,3
3192,4162,46.2167,-0.933333,0,1,3,3,7,61,0,14,3
550,5038,46.1333,6.26667,0,1,3,0,7,21,0,8,3
5362,6067,45.15,3.53333,0,1,3,4,7,22,0,14,3
2465,4875,44.85,0.4,0,1,5,3,6,21,0,7,3
1233,5544,48.0589,5.05695,2,1,2,3,6,18,0,11,3
4181,5350,46.0,6.0,0,1,3,4,7,69,0,14,3
3792,7430,49.0833,4.21667,0,1,3,3,6,20,0,7,3
3908,6963,48.8333,3.75,0,1,3,3,7,24,0,8,3
6225,65,49.3864,1.30695,0,1,5,4,6,20,0,7,3
1242,2183,46.95,4.68333,0,1,0,3,6,20,0,14,3
1392,6195,43.75,3.83333,0,1,3,4,7,39,0,14,3
1281,4214,43.2667,2.73333,0,1,3,4,7,21,0,14,3
328,4951,47.7833,-3.41667,2,1,3,3,7,22,0,11,3
1805,5286,47.8167,-2.28333,0,1,0,4,8,40,0,14,3
603,1251,48.0,-2.58333,0,1,3,3,7,19,0,14,3
2794,4789,47.1333,-1.75,0,1,3,3,7,20,0,14,3
3757,4594,47.5333,-1.88333,2,1,3,3,7,15,0,11,3
3724,7374,47.1667,-1.26667,2,1,3,4,7,39,0,11,3
3973,6217,47.6333,-2.13333,0,1,3,4,7,57,0,14,3
3484,426,48.0,1.23333,0,1,3,4,7,95,0,14,3
4264,5150,43.9667,4.68333,0,1,3,4,2,21,0,14,3
4434,7159,43.6234,6.70223,2,1,3,3,7,17,0,11,3
66,2459,46.3167,2.26667,0,1,3,4,7,83,0,14,3
6187,1127,48.75,3.98333,0,1,3,0,7,66,0,14,3
8017,7075,46.6167,-1.25,2,1,3,4,7,40,0,11,3
2400,3139,47.1333,0.783333,0,1,3,0,8,20,0,14,3
6297,2869,48.0667,-0.933333,2,1,8,4,7,41,0,11,3
4801,4865,46.55,5.58333,0,1,5,0,6,22,0,7,3
7578,4607,49.0167,4.06667,0,1,3,4,7,59,0,14,3
7578,4607,49.0167,4.06667,0,1,3,4,7,77,0,14,3
5117,145,43.1333,-0.466667,0,1,3,3,7,26,0,14,3
5467,6193,45.7,5.83333,0,1,3,4,7,33,0,14,3
7119,3285,47.7833,7.0,0,1,3,4,7,69,0,14,3
3728,2243,43.7,1.81667,0,0,3,1,7,32,0,8,3
883,4344,47.4833,-1.23333,0,1,1,0,8,39,0,14,2
2124,4781,47.1167,-2.1,1,1,3,4,7,30,0,14,2
309,6064,45.6,5.63333,0,1,2,4,3,43,0,14,2
2144,5082,42.6084,2.39972,0,1,3,4,7,46,0,14,2
2261,6283,42.7667,2.98333,0,1,4,3,6,24,0,14,2
1122,7281,42.4667,1.93333,0,1,3,3,7,44,0,14,2
3507,5736,45.9667,0.066667,2,1,3,4,7,15,0,11,2
2121,3050,48.3833,-3.3,0,1,3,4,7,44,0,14,2
1439,2910,48.2833,-4.05,0,1,3,4,8,34,0,14,2
1548,6514,48.5659,3.39723,2,1,3,4,7,28,0,11,2
74,6135,48.1667,-3.78333,0,1,0,4,8,30,0,14,2
548,3916,46.4659,-0.984722,0,1,3,3,7,45,0,14,2
548,3916,46.4659,-0.984722,0,1,3,3,7,42,0,14,2
719,3828,43.6167,-0.566667,0,1,3,4,7,54,0,14,2
719,3828,43.6167,-0.566667,0,1,3,4,7,44,0,14,2
315,5059,43.75,-0.35,0,1,2,3,3,45,0,14,2
335,2604,49.0833,0.95,0,1,2,0,8,55,0,14,2
502,4156,49.2667,1.38333,0,1,2,4,3,22,0,14,2
528,1652,48.9833,1.19167,5,1,0,3,7,19,0,14,2
636,3382,49.1,0.616667,0,1,3,4,7,59,0,14,2
1489,1792,49.2,1.25,2,1,3,3,7,19,0,11,2
726,5910,44.4833,2.4,0,1,7,4,8,60,0,14,2
1022,294,47.4833,5.58333,0,1,3,3,6,24,0,14,2
1022,294,47.4833,5.58333,0,1,3,3,6,68,0,14,2
256,6335,48.05,1.98333,0,1,2,3,3,43,0,14,2
957,2195,48.0167,2.9,0,1,0,4,8,36,0,14,2
1373,1487,49.3,2.88333,0,1,6,4,8,50,0,14,2
228,398,49.2667,2.36667,0,1,2,4,3,60,0,14,2
1250,765,43.9333,4.31667,0,1,3,3,7,47,0,14,2
505,7968,47.4667,7.26667,0,1,3,4,0,47,0,14,2
505,7968,47.4667,7.26667,0,1,3,4,0,62,0,8,2
233,7958,48.0625,7.48001,0,1,0,4,8,35,0,14,2
739,5769,47.8833,7.01667,0,1,3,4,7,37,0,14,2
2144,7979,47.8167,7.25,0,1,3,4,7,78,0,14,2
575,5069,47.6333,7.1,0,1,3,4,7,46,0,14,2
1338,2139,48.4667,3.43333,0,1,0,3,8,61,0,6,2
520,395,49.05,-0.283333,0,1,3,3,7,21,0,14,2
520,395,49.05,-0.283333,0,1,3,3,7,26,0,14,2
865,1236,49.1667,-0.583333,0,1,0,0,8,58,0,14,2
807,4738,49.3,0.183333,0,1,5,4,6,78,0,14,2
957,4546,47.8167,-1.95,0,1,1,0,7,22,0,14,2
1142,5000,47.9167,-1.23333,0,1,3,4,6,20,0,14,2
1142,5000,47.9167,-1.23333,0,1,3,4,6,67,0,14,2
884,2554,47.9333,-1.6,2,1,1,0,8,17,0,11,2
1825,972,48.1,-1.11667,0,1,3,4,6,46,0,14,2
213,5817,48.2667,-1.4,0,1,0,4,8,25,0,14,2
213,5817,48.2667,-1.4,0,1,0,4,8,30,0,14,2
240,5131,47.55,-0.416667,0,1,2,4,3,57,0,14,2
380,1850,47.6333,-0.283333,0,1,2,3,8,41,0,14,2
380,1850,47.6333,-0.283333,0,1,2,3,8,27,0,14,2
683,3953,47.4,-0.55,0,1,0,3,8,24,0,14,2
